,Layer1,Layer2,Layer3,Layer4,Layer5
Ansatz 1,1.9095836023552692e-16,3.1974423109204507e-16,-5.773159728050814e-17,3.9745984281580605e-16,4.1522341120980857e-16
Ansatz 2,0.6955573921011319,0.7872102247382088,0.8261578065650176,0.8584773396148949,0.8898166964231692
Ansatz 3,0.05566452122087503,0.1384978035502213,0.178337261115376,0.24138553135051274,0.2518298213139192
Ansatz 4,0.1264717714921114,0.21749074613226582,0.3144484111722192,0.3690468963601951,0.4350387375994822
Ansatz 5,0.3739080465877676,0.4566756830053973,0.635824398308719,0.580270605038762,0.5631412783228172
Ansatz 6,0.39512433824940824,0.5780650747196077,0.7611934413360629,0.7046989251673703,0.7961890444862212
Ansatz 7,0.08836901904385407,0.18220399047427505,0.27127062747390746,0.3482701311654266,0.41626510199555916
Ansatz 8,0.12387800506284506,0.2551188695189726,0.35526791026640836,0.4147186286908745,0.4963274262354123
Ansatz 9,1.0000000000000022,1.0000000000000047,1.0000000000000073,0.9992568069545471,0.9926126212274338
Ansatz 10,0.4186193142216066,0.7564033329207889,0.8971282203155824,0.9187694545225276,0.9478075057527824
Ansatz 11,0.585205827672378,0.8187383061016587,0.8835898793421133,0.9301290303326666,0.9484390726065078
Ansatz 12,0.411108523165109,0.6203105920380356,0.7028276622681449,0.7682310152385909,0.833246102130043
Ansatz 13,0.1721842190197551,0.29141775534250597,0.44832664621625073,0.541342316736368,0.6162772467556903
Ansatz 14,0.2138224983324538,0.3703080792424872,0.5194217664104369,0.6069452409166538,0.6731979974055196
Ansatz 15,0.7519308097093058,0.9218032256257358,0.9557685518292887,0.9620063571792622,0.9681078329522897
Ansatz 16,0.054361698667548426,0.14678584133050934,0.23771783424023307,0.30700667773308765,0.3552540910947619
Ansatz 17,0.13486802384157662,0.23029106030564697,0.32059726349661005,0.40909183924641945,0.47142260098763417
Ansatz 18,0.06436847527772921,0.166167948947363,0.2822836182317696,0.35419800307616833,0.35939196746152624
Ansatz 19,0.12671182701506215,0.2628236544743352,0.3531206944453524,0.45656649748055295,0.500813489193419
